query,target,method,time
chrom,980.2788696289062,DuckDB,0.020151100121438503
chrom,980.2788696289062,Parquet,0.08391609997488558
rtrange,12.086972,pyteomics,6.666672599967569
rtrange,12.086972,pyopenms,2.4796415001619607
rtrange,12.086972,pyopenms_2DPeak,2.5069796999450773
rtrange,12.086972,pymzml,2.7488029999658465
rtrange,12.086972,mzMLb,6.00174400000833
rtrange,12.086972,mzDB,0.6591978000942618
rtrange,12.086972,MZA,0.06959780002944171
rtrange,12.086972,mz5,0.89214410004206
rtrange,12.086972,MZTree,0.4886677998583764
rtrange,12.086972,mzMD,0.3083861998748034
rtrange,12.086972,SQLite,0.29002590011805296
rtrange,12.086972,DuckDB,0.011986400000751019
rtrange,12.086972,Parquet,0.04409740003757179
rtrange,5.1986495,pyteomics,6.641529300017282
rtrange,5.1986495,pyopenms,2.5098971999250352
rtrange,5.1986495,pyopenms_2DPeak,2.5178468998055905
rtrange,5.1986495,pymzml,2.7410772999282926
rtrange,5.1986495,mzMLb,5.996652900008485
rtrange,5.1986495,mzDB,1.4900032000150532
rtrange,5.1986495,MZA,0.11494280002079904
rtrange,5.1986495,mz5,0.8999395000282675
rtrange,5.1986495,MZTree,0.6666194000281394
rtrange,5.1986495,mzMD,0.4144172000233084
rtrange,5.1986495,SQLite,0.376943500014022
rtrange,5.1986495,DuckDB,0.017409699968993664
rtrange,5.1986495,Parquet,0.04534740000963211
rtrange,6.3637501,pyteomics,6.654461800120771
rtrange,6.3637501,pyopenms,2.5044591000769287
rtrange,6.3637501,pyopenms_2DPeak,2.5140255000442266
rtrange,6.3637501,pymzml,2.7576967000495642
rtrange,6.3637501,mzMLb,6.079097700072452
rtrange,6.3637501,mzDB,0.8319155001081526
rtrange,6.3637501,MZA,0.10037869983352721
rtrange,6.3637501,mz5,0.8824928000103682
rtrange,6.3637501,MZTree,0.2960555001627654
rtrange,6.3637501,mzMD,0.36494020000100136
rtrange,6.3637501,SQLite,0.34750509983859956
rtrange,6.3637501,DuckDB,0.01618349994532764
rtrange,6.3637501,Parquet,0.04295289982110262
rtrange,7.405009,pyteomics,6.7420912000816315
rtrange,7.405009,pyopenms,2.5463232998736203
rtrange,7.405009,pyopenms_2DPeak,2.519374000141397
rtrange,7.405009,pymzml,2.753138299798593
rtrange,7.405009,mzMLb,5.984847800107673
rtrange,7.405009,mzDB,1.1720916000194848
rtrange,7.405009,MZA,0.0782353999093175
rtrange,7.405009,mz5,0.8756835998501629
rtrange,7.405009,MZTree,0.1020562001504004
rtrange,7.405009,mzMD,0.38386419997550547
rtrange,7.405009,SQLite,0.3360462000127882
rtrange,7.405009,DuckDB,0.014106200076639652
rtrange,7.405009,Parquet,0.0440291000995785
rtrange,3.5547862,pyteomics,6.738146599847823
rtrange,3.5547862,pyopenms,2.556395099963993
rtrange,3.5547862,pyopenms_2DPeak,2.5527371000498533
rtrange,3.5547862,pymzml,2.7505544999148697
rtrange,3.5547862,mzMLb,6.010629100026563
rtrange,3.5547862,mzDB,1.030336800031364
rtrange,3.5547862,MZA,0.12085879989899695
rtrange,3.5547862,mz5,0.9006966999731958
rtrange,3.5547862,MZTree,0.45224980008788407
rtrange,3.5547862,mzMD,0.45418669981881976
rtrange,3.5547862,SQLite,0.3812865000218153
rtrange,3.5547862,DuckDB,0.017310000024735928
rtrange,3.5547862,Parquet,0.04582330002449453
rtrange,11.081534,pyteomics,6.768882300006226
rtrange,11.081534,pyopenms,2.5749034001491964
rtrange,11.081534,pyopenms_2DPeak,2.5339621000457555
rtrange,11.081534,pymzml,2.806028899969533
rtrange,11.081534,mzMLb,6.091014900011942
rtrange,11.081534,mzDB,2.3314511999487877
rtrange,11.081534,MZA,0.18651589984074235
